0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,X,Y
10.0,8.04382623444342,6.866450064807993,6.071524938918623,5.512203139872347,5.128052315174646,5.1280520590741805,8.045573033907067,4.871951594786605,6.871690463198934,4.4878007702528055,6.082782091013092,3.928478971325511,5.535105621696918,3.133553845538553,5.178369844025154,1.9561776760109124,5.00000195518993,4.821634066354707,4.4648982886855775,3.9172218193799413,3.1283134472212004,1.9544308765717948,3.910600731381245e-06,1.0,6.5
10.0,8.04255798459998,6.8628334128571655,6.062383174070862,5.487661040928977,5.054129367120497,4.938205945714035,8.045743104295594,4.822282524307573,6.872388771944007,4.47451257769644,6.083921216561537,3.9252294189847867,5.536503508104049,3.1331513147933854,5.17988771723141,1.9564271368462192,5.001561978966075,4.82323624070074,4.466549078512037,3.918845884790296,3.129708698526788,1.9552795980906863,3.911698911539082e-06,1.5,6.0
10.0,8.043826234451698,6.866450064824136,6.0715249389454895,5.5122031399185385,5.128052315264585,4.8719518508290385,8.045573033912174,4.871951594728575,6.871690463205558,4.487800770230337,6.082782091019742,3.928478971316429,5.535105621703122,3.133553845535086,5.178369844030907,1.9561776760099323,5.000001955195427,4.821634066359946,4.464898288690236,3.9172218193836326,3.1283134472235723,1.9544308765727607,3.91060073138123e-06,1.5,7.0
10.0,8.27332369989552,7.110226737941512,6.296996222315961,5.726181528643867,5.3536880741885415,5.1675040618458805,7.709745785085898,4.9813200495032195,6.842832414720401,4.609077454587899,6.146543211067983,4.039266199075834,5.627430669322874,3.2218933651909474,5.278919387231543,2.0106062847618182,5.102443639224516,4.92596789121749,4.568576181280712,4.013941928153811,3.2090713067709196,2.006332265288475,4.016930516189262e-06,2.0,1.5
10.0,8.132628736265273,7.030168251371031,6.275546212861913,5.739984287200407,5.385530986156257,5.206706810723,7.739679211124635,5.027882635289744,7.7396773227650995,4.6670392346008684,6.674761031684842,4.105916910360457,6.00201165431945,3.2875103615892343,5.583923611000232,2.0581797732816995,5.3793393463824035,5.174755081764575,4.774506066612477,4.173112801915563,3.321532649921184,2.0695205360590156,4.127692053956608e-06,2.5,1.0
10.0,8.034972581459822,7.121976508416438,6.348017211021529,5.776305705224927,5.398306578808052,5.208845865532803,7.9418749106241044,5.019385152257554,6.842683495909286,4.639541425573433,6.111004291128193,4.060451518707853,5.593147165067307,3.234502311836635,5.249758303231538,2.016262979017426,5.076246593326551,4.902734883421564,4.552076905637385,4.005143315782862,3.2064061024111146,2.0068975758755854,4.023152508587994e-06,2.0,2.5
10.0,7.941874910895403,6.842683496237652,6.111004291455643,5.593147165380468,5.2497583035311095,5.0762465936183645,8.034972581749305,4.90273488370562,7.1219765087993565,4.5520769059039985,6.348017211395275,4.00514331601977,5.776305705573866,3.2064061026022084,5.39830657913664,2.006897575995818,5.208845865850517,5.019385152564395,4.6395414258571295,4.0604515189555626,3.2345023120332166,2.016262979139487,4.023152508830287e-06,2.5,2.0
10.0,8.00548244576011,6.839817161318518,6.274813361594434,5.745468491928129,5.375134928914723,5.1867115377514885,8.008052623190887,4.998288146588254,6.847527693610847,4.614928144948724,6.080700499346408,4.033477520777932,5.549495885487328,3.209563310050005,5.202228088424494,1.9992641634794464,5.0279585029775,4.853688917530505,4.5038783728053575,3.9625027682970235,3.1733970448728486,1.9872087417537272,3.986464932303309e-06,2.0,3.5
10.0,7.98944023762072,6.749301883492688,6.012185393181275,5.50445447118555,5.168771674335531,4.998987264364281,8.052134000145223,4.829202854393031,6.937383171066203,4.485748011358054,6.171794453017513,3.946928904622497,5.627796955674125,3.158708701741195,5.2688069408337945,1.9760634181515053,5.088282165171096,4.907757389508397,4.544648301697933,3.9841745124740093,3.1776292296743844,1.9823702607959017,3.958425762095883e-06,2.5,3.0
10.0,8.018539590604384,6.825942570091371,6.050026810196358,5.679158962849739,5.342472132583806,5.160779278549294,8.028024649226518,4.979086424514781,6.854397745957779,4.589001838642666,6.07228933106398,4.004542968871326,5.531474733014745,3.184020380894995,5.179443623712454,1.9828001982852146,5.003341564821646,4.827239505930838,4.474862379669895,3.9326637137860487,3.147550194023979,1.9706434693282089,3.953435760741902e-06,2.0,4.5
